group,math_scores,physics_scores,russian_scores,attendance,age,gender,exam_results
A,3.7,4.0,4.2,3,средние,женский,сдал
A,4.5,3.5,4.9,2,младшие,мужской,сдал
A,3.9,3.6,3.7,7,старшие,мужской,не сдал
A,4.0,4.3,4.2,16,средние,мужской,не сдал
A,4.1,4.0,4.8,3,старшие,женский,сдал
A,4.1,3.5,4.5,0,младшие,женский,не сдал
A,3.8,4.1,4.2,1,старшие,мужской,сдал
A,3.3,4.0,4.0,18,старшие,мужской,сдал
A,3.3,3.5,4.2,20,старшие,женский,сдал
A,3.6,4.5,4.2,4,младшие,мужской,не сдал
A,4.6,3.5,4.5,1,средние,женский,сдал
A,3.8,3.4,4.1,4,младшие,мужской,сдал
A,4.2,3.9,4.1,1,старшие,мужской,не сдал
A,3.4,4.0,4.4,2,старшие,женский,не сдал
A,3.6,4.4,4.4,4,средние,женский,не сдал
A,3.9,4.2,4.9,11,старшие,мужской,не сдал
A,4.5,4.1,4.5,20,средние,женский,сдал
A,3.8,4.1,4.6,16,средние,мужской,сдал
A,3.9,4.5,4.0,0,средние,мужской,сдал
A,3.8,4.0,3.8,9,младшие,женский,сдал
A,4.7,4.0,4.3,9,старшие,мужской,сдал
A,3.4,4.1,4.1,1,младшие,женский,сдал
A,4.6,4.3,4.3,5,старшие,женский,сдал
A,3.5,4.1,4.3,1,старшие,женский,сдал
A,3.8,4.5,3.8,50,младшие,мужской,сдал
A,4.1,3.6,4.1,4,младшие,женский,сдал
A,3.6,4.2,4.4,0,средние,мужской,сдал
A,3.9,4.1,4.0,6,старшие,женский,не сдал
A,4.5,4.1,4.0,24,младшие,мужской,сдал
A,4.3,3.5,4.3,4,старшие,мужской,сдал
A,4.9,3.9,4.3,7,старшие,мужской,сдал
A,4.2,4.2,4.1,19,старшие,мужской,сдал
A,3.6,3.5,4.2,2,старшие,женский,не сдал
A,2.9,4.4,4.7,29,старшие,женский,не сдал
A,3.4,4.0,4.1,20,старшие,женский,не сдал
A,3.8,4.2,4.1,49,младшие,мужской,сдал
A,3.2,3.8,4.2,3,младшие,мужской,сдал
A,4.1,3.9,3.7,4,младшие,мужской,сдал
A,4.2,4.7,4.6,4,младшие,женский,сдал
A,4.8,4.6,4.4,11,младшие,женский,сдал
A,4.4,4.2,3.8,1,младшие,женский,сдал
A,3.7,4.1,4.2,22,средние,мужской,сдал
A,4.2,3.9,4.4,10,младшие,мужской,не сдал
A,3.7,3.7,4.2,0,средние,мужской,сдал
A,3.8,4.1,4.3,1,средние,женский,сдал
A,2.8,3.8,4.0,19,старшие,женский,сдал
A,3.9,4.2,3.8,29,средние,женский,не сдал
A,4.3,4.6,4.0,9,старшие,мужской,сдал
A,4.7,3.9,4.0,17,средние,мужской,сдал
A,3.9,4.5,4.1,7,младшие,мужской,сдал
A,3.6,3.6,4.1,8,младшие,женский,не сдал
A,3.5,3.7,4.0,8,младшие,женский,сдал
A,2.6,4.3,4.3,3,старшие,женский,сдал
A,3.2,3.4,3.4,0,средние,мужской,сдал
A,3.8,3.6,4.0,5,старшие,женский,сдал
A,3.4,3.6,4.3,6,средние,мужской,сдал
A,3.1,4.5,3.8,7,старшие,женский,не сдал
A,3.9,4.1,4.0,3,средние,женский,сдал
A,4.1,3.9,4.1,8,средние,мужской,не сдал
A,3.0,3.9,3.7,0,старшие,женский,сдал
A,4.5,4.3,4.4,8,старшие,мужской,сдал
A,3.8,3.9,4.3,22,средние,женский,сдал
A,3.5,3.5,4.3,62,средние,женский,сдал
A,3.4,3.8,5.0,9,младшие,женский,не сдал
A,3.8,4.2,4.0,5,младшие,женский,сдал
A,2.3,4.4,4.5,16,старшие,мужской,не сдал
A,4.1,4.0,4.2,6,младшие,мужской,не сдал
A,4.5,4.2,4.0,0,младшие,мужской,не сдал
A,4.4,4.0,4.2,19,старшие,женский,сдал
A,3.2,3.7,4.7,8,средние,мужской,сдал
A,3.4,3.8,3.9,7,средние,мужской,сдал
A,3.6,3.8,4.7,24,старшие,мужской,сдал
A,4.2,4.2,3.8,2,средние,женский,сдал
A,3.9,4.5,4.2,9,младшие,мужской,сдал
A,3.8,4.0,4.3,5,старшие,мужской,не сдал
A,3.8,4.2,4.2,7,старшие,женский,сдал
A,3.6,3.9,4.1,3,старшие,мужской,не сдал
A,4.8,4.2,3.6,22,средние,женский,не сдал
A,3.8,4.0,4.0,14,старшие,мужской,не сдал
A,3.9,4.1,4.3,0,средние,женский,сдал
A,3.3,3.9,4.2,12,младшие,мужской,сдал
A,4.4,4.4,4.6,4,старшие,женский,сдал
A,3.5,4.4,4.3,11,младшие,женский,не сдал
A,4.0,3.7,4.4,4,младшие,женский,сдал
A,3.9,3.8,4.9,10,младшие,мужской,сдал
A,4.0,3.7,4.5,0,средние,мужской,сдал
A,4.1,4.1,3.9,15,средние,мужской,сдал
A,4.2,4.0,4.4,0,старшие,мужской,не сдал
A,3.6,4.0,4.4,4,старшие,женский,сдал
A,3.9,4.1,4.2,1,средние,женский,сдал
A,4.4,4.3,3.9,3,младшие,мужской,сдал
A,3.8,4.3,3.5,26,младшие,женский,сдал
A,3.4,4.4,4.1,37,старшие,мужской,сдал
A,3.0,4.6,3.7,1,старшие,женский,не сдал
A,4.7,4.2,4.0,24,младшие,женский,сдал
A,4.3,3.8,4.2,3,средние,женский,не сдал
A,4.0,3.8,4.2,2,средние,мужской,сдал
A,3.7,4.7,4.4,0,старшие,женский,сдал
A,4.0,4.1,4.4,0,младшие,женский,сдал
A,3.9,3.9,4.3,14,средние,мужской,сдал
A,3.6,4.3,3.9,21,средние,женский,не сдал
A,2.9,4.5,4.3,28,младшие,женский,сдал
A,3.9,4.3,3.7,8,старшие,женский,сдал
A,3.9,4.3,4.1,14,старшие,мужской,сдал
A,4.9,4.0,4.3,18,средние,мужской,сдал
A,4.0,3.5,4.3,9,младшие,женский,сдал
A,3.3,4.8,3.9,3,старшие,мужской,сдал
A,3.5,3.7,4.1,2,средние,мужской,сдал
A,4.2,4.1,4.3,0,средние,мужской,сдал
A,2.9,3.6,4.4,1,средние,мужской,сдал
A,3.3,3.2,4.4,1,старшие,женский,сдал
A,2.8,4.1,4.5,1,средние,женский,сдал
A,4.0,3.8,4.6,0,средние,женский,сдал
A,4.3,3.8,4.3,7,средние,женский,не сдал
A,3.5,3.9,4.5,2,старшие,женский,сдал
A,4.1,4.1,4.2,10,средние,женский,сдал
A,3.8,4.5,4.2,4,младшие,женский,сдал
A,3.5,3.7,4.4,3,младшие,мужской,сдал
A,3.9,3.8,4.1,1,средние,женский,сдал
A,3.3,3.7,4.4,7,младшие,женский,сдал
A,3.9,4.2,4.2,1,младшие,мужской,не сдал
A,3.5,4.1,4.1,1,младшие,мужской,сдал
A,3.6,3.8,3.5,2,младшие,женский,сдал
A,3.9,3.7,4.6,21,младшие,женский,сдал
A,3.9,3.8,4.6,2,младшие,мужской,сдал
A,4.0,3.9,4.8,0,младшие,женский,сдал
A,3.8,3.9,4.4,11,младшие,мужской,сдал
A,4.0,4.1,4.3,0,младшие,женский,сдал
A,3.3,3.9,4.4,1,младшие,женский,сдал
A,3.8,4.2,3.9,3,старшие,мужской,сдал
A,3.5,4.0,4.6,1,младшие,мужской,сдал
A,3.9,4.3,4.8,3,старшие,мужской,сдал
A,3.3,3.6,4.6,1,младшие,женский,не сдал
A,3.5,4.4,4.6,2,младшие,мужской,сдал
A,3.4,3.7,4.8,7,средние,мужской,сдал
A,3.7,3.8,4.2,11,младшие,мужской,сдал
A,3.7,4.1,4.4,5,младшие,женский,сдал
A,3.7,4.3,4.5,1,старшие,женский,сдал
A,2.4,3.8,4.1,11,средние,мужской,не сдал
A,4.2,4.2,4.4,9,младшие,женский,сдал
A,3.6,3.8,3.6,4,средние,женский,сдал
A,4.0,4.2,3.9,1,младшие,женский,сдал
A,3.9,3.8,4.5,20,старшие,мужской,сдал
A,3.9,4.0,4.3,6,старшие,мужской,не сдал
A,4.1,3.5,4.3,31,старшие,женский,сдал
A,3.8,4.7,4.4,8,младшие,женский,сдал
A,3.6,4.5,4.4,17,старшие,мужской,сдал
A,4.3,3.8,4.3,11,средние,женский,сдал
A,3.7,4.0,4.1,0,средние,мужской,не сдал
A,3.4,4.1,4.2,8,младшие,женский,сдал
A,3.7,4.1,4.2,0,средние,мужской,сдал
A,3.7,3.6,3.6,24,младшие,мужской,сдал
A,3.4,3.7,4.3,0,средние,женский,сдал
A,3.0,4.2,4.1,1,младшие,женский,сдал
A,4.4,4.0,4.3,2,младшие,женский,сдал
A,3.9,3.8,3.9,3,младшие,женский,не сдал
A,3.7,4.2,4.0,2,средние,мужской,сдал
A,3.6,4.4,4.2,2,старшие,женский,сдал
A,4.1,3.9,4.2,3,средние,женский,сдал
A,2.9,3.6,4.5,1,старшие,женский,сдал
A,4.5,4.0,3.6,4,старшие,женский,сдал
A,3.9,4.3,4.2,0,старшие,женский,сдал
A,3.5,4.0,4.2,1,младшие,женский,сдал
A,2.8,3.8,4.0,15,младшие,мужской,сдал
A,4.2,3.6,4.1,9,средние,женский,сдал
A,3.7,4.2,3.9,1,средние,мужской,сдал
A,3.9,4.2,4.3,10,младшие,женский,не сдал
A,3.1,3.9,4.3,1,старшие,женский,сдал
A,3.8,4.0,4.0,9,средние,женский,не сдал
A,3.2,3.9,3.7,17,средние,мужской,сдал
A,4.6,3.8,4.1,7,старшие,мужской,сдал
A,4.1,3.9,3.9,1,младшие,мужской,сдал
A,3.6,3.7,4.0,1,средние,женский,не сдал
A,4.0,4.2,3.8,2,младшие,мужской,сдал
A,3.5,4.5,4.5,0,младшие,женский,сдал
A,4.0,4.3,4.2,41,старшие,женский,сдал
A,4.1,4.2,4.5,4,младшие,женский,сдал
A,5.0,3.8,4.7,9,старшие,женский,сдал
A,3.9,3.4,4.3,1,старшие,мужской,не сдал
A,4.3,4.0,4.4,6,младшие,мужской,сдал
A,3.6,3.1,4.0,1,средние,женский,сдал
A,3.6,4.0,4.3,6,старшие,женский,сдал
A,4.0,4.2,4.5,10,средние,мужской,не сдал
A,4.5,3.9,4.1,11,старшие,мужской,не сдал
A,4.0,3.5,4.3,3,средние,мужской,сдал
A,3.8,4.3,4.4,8,старшие,мужской,сдал
A,4.8,4.2,3.2,8,старшие,мужской,сдал
A,3.5,4.3,4.6,18,средние,мужской,сдал
A,4.0,3.8,3.8,1,старшие,мужской,сдал
A,3.4,3.5,4.0,5,младшие,женский,сдал
A,3.7,3.7,4.2,14,младшие,мужской,сдал
A,4.3,3.7,4.3,6,старшие,женский,сдал
A,4.5,3.8,4.1,0,старшие,мужской,сдал
A,4.0,3.8,4.2,10,младшие,мужской,сдал
A,3.9,4.0,4.1,15,младшие,мужской,не сдал
A,3.7,3.9,4.1,15,средние,мужской,сдал
A,4.1,3.7,4.5,17,младшие,женский,сдал
A,3.2,4.2,4.1,9,старшие,мужской,сдал
A,4.1,4.2,4.2,3,старшие,женский,сдал
A,4.3,4.2,4.1,8,средние,женский,сдал
A,3.9,4.6,4.3,4,средние,мужской,не сдал
A,3.3,3.7,3.9,0,младшие,мужской,сдал
A,3.7,3.7,4.2,0,средние,женский,сдал
A,2.7,4.3,4.4,7,старшие,мужской,не сдал
A,3.3,4.3,3.7,16,средние,женский,сдал
A,3.8,3.9,4.1,17,старшие,женский,сдал
A,4.1,4.4,4.1,6,младшие,женский,сдал
A,3.4,3.7,4.1,0,младшие,мужской,сдал
A,3.6,4.0,4.0,0,средние,мужской,не сдал
A,3.6,3.8,3.9,0,средние,женский,не сдал
A,3.5,4.2,4.5,5,средние,мужской,не сдал
A,4.0,4.5,3.8,3,старшие,мужской,сдал
A,3.6,4.1,4.4,6,средние,мужской,сдал
A,3.6,4.0,4.1,8,старшие,женский,сдал
A,3.2,4.2,4.6,8,средние,мужской,сдал
A,4.5,3.6,4.7,6,средние,мужской,сдал
A,3.3,3.4,3.9,2,младшие,мужской,сдал
A,2.6,4.1,4.1,18,младшие,женский,не сдал
A,2.7,4.0,4.7,9,старшие,женский,сдал
A,3.7,3.9,3.9,0,младшие,мужской,сдал
A,3.6,4.0,4.8,27,старшие,женский,сдал
A,4.1,3.9,3.7,28,младшие,женский,сдал
A,3.4,3.6,4.2,5,младшие,мужской,сдал
A,4.4,3.9,4.2,16,младшие,мужской,сдал
A,3.4,4.1,4.1,34,старшие,женский,не сдал
A,4.7,3.8,4.3,1,старшие,женский,сдал
A,3.5,4.2,3.9,7,младшие,мужской,сдал
A,3.8,4.0,4.3,3,старшие,мужской,не сдал
A,4.8,4.5,4.2,20,средние,женский,сдал
A,3.8,4.1,4.1,32,старшие,мужской,сдал
A,3.2,4.2,3.9,36,средние,мужской,сдал
A,4.0,3.8,4.5,6,старшие,женский,сдал
A,4.8,3.5,4.7,18,старшие,женский,сдал
A,3.7,3.8,4.2,16,средние,мужской,сдал
A,2.9,4.1,4.5,8,младшие,женский,сдал
A,3.6,4.4,4.1,1,старшие,женский,сдал
A,4.0,3.9,3.7,0,младшие,мужской,сдал
A,3.9,4.0,4.0,0,младшие,женский,сдал
A,3.5,3.8,3.9,29,средние,мужской,сдал
A,4.3,3.9,4.4,0,младшие,женский,сдал
A,3.8,4.5,4.4,6,младшие,мужской,сдал
A,3.7,4.2,4.8,4,младшие,мужской,сдал
A,4.0,4.1,4.8,13,младшие,мужской,сдал
A,4.5,3.8,4.8,13,средние,женский,сдал
A,4.2,3.8,3.8,4,старшие,мужской,сдал
A,3.3,4.0,4.1,1,младшие,женский,сдал
A,2.8,3.4,4.4,4,старшие,женский,сдал
A,4.0,4.2,4.1,6,младшие,женский,не сдал
A,5.0,4.1,4.4,22,младшие,женский,сдал
A,3.9,4.0,3.9,0,средние,мужской,сдал
A,3.7,4.0,4.3,29,средние,женский,сдал
A,5.0,4.1,4.6,13,старшие,мужской,сдал
A,4.0,3.9,4.1,0,старшие,женский,сдал
A,3.8,4.3,4.7,7,средние,мужской,не сдал
A,4.0,3.9,4.4,3,младшие,женский,сдал
A,3.8,4.5,3.5,8,старшие,женский,сдал
A,4.0,4.3,4.3,17,младшие,мужской,сдал
A,3.5,3.6,4.7,35,средние,женский,сдал
A,3.7,4.5,4.1,2,старшие,мужской,не сдал
A,3.6,4.2,4.1,4,младшие,мужской,не сдал
A,3.8,3.9,4.0,13,старшие,мужской,сдал
A,3.6,3.9,4.2,7,старшие,мужской,не сдал
A,3.7,4.3,4.3,17,старшие,женский,не сдал
A,4.5,3.7,4.6,38,младшие,мужской,сдал
A,3.3,4.0,4.5,0,старшие,женский,сдал
A,3.8,4.3,4.2,2,старшие,женский,сдал
A,2.4,4.1,4.4,8,средние,мужской,сдал
A,4.0,4.1,4.1,10,средние,мужской,сдал
A,3.7,3.8,4.1,10,младшие,мужской,сдал
A,4.6,5.0,4.1,4,старшие,женский,сдал
A,3.0,4.2,4.3,0,средние,мужской,сдал
A,4.8,4.2,4.2,11,средние,женский,сдал
A,4.0,3.6,4.2,1,младшие,женский,сдал
A,4.2,3.7,3.7,5,младшие,мужской,не сдал
A,3.1,4.2,4.1,11,старшие,мужской,сдал
A,4.9,3.9,4.2,11,старшие,мужской,сдал
A,4.0,4.0,4.5,3,младшие,мужской,не сдал
A,3.8,3.6,4.7,8,младшие,мужской,сдал
A,3.7,3.5,4.3,0,средние,женский,сдал
A,3.6,3.5,4.0,10,средние,мужской,сдал
A,3.2,4.3,3.5,17,младшие,женский,сдал
A,3.6,3.8,3.3,13,младшие,женский,сдал
A,4.0,4.0,4.7,20,средние,женский,сдал
A,3.7,3.4,4.2,4,средние,мужской,сдал
A,3.9,3.7,4.2,7,старшие,женский,сдал
A,4.1,3.5,4.2,8,старшие,женский,сдал
A,4.6,4.0,4.5,19,младшие,женский,не сдал
A,3.9,3.5,4.3,6,младшие,женский,сдал
A,3.2,3.7,4.2,3,младшие,мужской,сдал
A,3.9,4.1,4.0,12,средние,мужской,сдал
A,3.3,3.8,4.4,4,старшие,женский,сдал
A,3.7,3.6,4.4,1,старшие,женский,сдал
A,4.2,4.1,4.3,4,младшие,женский,не сдал
A,3.6,4.3,4.0,33,средние,мужской,сдал
A,4.6,3.9,4.4,2,старшие,женский,не сдал
A,3.5,3.9,4.1,5,средние,мужской,сдал
A,4.0,3.9,4.2,40,средние,мужской,не сдал
A,3.9,3.6,4.0,15,старшие,мужской,не сдал
A,4.0,4.4,4.3,6,средние,мужской,не сдал
A,4.1,3.9,4.1,9,старшие,мужской,сдал
A,3.8,3.9,3.5,1,младшие,женский,сдал
A,4.3,4.0,3.9,3,старшие,мужской,сдал
A,4.2,4.2,3.7,6,средние,мужской,не сдал
A,4.7,4.0,4.7,1,младшие,женский,сдал
A,3.6,4.1,4.4,5,младшие,мужской,сдал
A,3.4,3.8,4.0,7,старшие,женский,сдал
A,4.1,3.8,4.4,39,старшие,мужской,сдал
A,3.5,3.9,4.4,3,средние,мужской,сдал
A,2.8,4.2,4.9,4,старшие,мужской,сдал
A,4.6,4.0,4.3,10,старшие,мужской,не сдал
A,4.0,4.3,4.2,26,младшие,мужской,сдал
A,3.9,3.8,4.2,17,старшие,мужской,сдал
A,3.5,3.8,4.1,3,старшие,женский,сдал
A,3.7,3.8,3.9,35,старшие,женский,не сдал
A,3.6,4.6,3.9,14,средние,мужской,не сдал
A,3.5,3.8,4.4,2,старшие,мужской,сдал
A,3.8,4.3,4.0,9,старшие,мужской,сдал
A,4.0,4.4,4.3,6,младшие,женский,сдал
A,3.2,3.4,4.3,18,младшие,мужской,сдал
A,2.9,3.8,4.0,3,старшие,женский,сдал
A,4.2,3.7,4.0,22,младшие,мужской,сдал
A,4.2,3.7,3.7,48,старшие,мужской,сдал
A,3.5,3.7,4.2,6,средние,женский,сдал
A,3.6,3.9,3.9,6,младшие,женский,сдал
A,4.0,4.0,3.8,17,младшие,женский,сдал
A,4.4,4.1,4.2,4,старшие,мужской,сдал
A,3.4,4.1,4.3,7,средние,мужской,сдал
A,4.0,4.0,4.5,7,средние,мужской,не сдал
A,5.0,3.6,4.0,1,старшие,женский,сдал
A,3.0,4.4,3.8,35,средние,мужской,не сдал
A,4.2,4.1,4.0,12,старшие,женский,сдал
A,3.7,4.0,4.4,11,старшие,мужской,не сдал
A,5.0,3.8,3.9,28,младшие,мужской,сдал
A,3.2,4.2,4.4,21,средние,женский,сдал
A,4.6,3.8,4.0,1,старшие,мужской,не сдал
A,3.3,4.0,4.3,33,младшие,мужской,не сдал
A,4.5,3.7,4.7,2,старшие,женский,не сдал
A,3.9,4.1,4.2,9,средние,женский,сдал
A,4.6,3.9,4.4,7,старшие,женский,не сдал
A,4.0,4.1,4.1,0,младшие,женский,сдал
A,3.6,4.0,3.8,4,младшие,женский,сдал
A,2.9,3.9,4.0,28,старшие,женский,сдал
A,4.1,3.9,4.2,13,средние,мужской,сдал
A,3.1,3.4,4.4,1,старшие,женский,не сдал
A,2.8,4.0,4.2,3,младшие,мужской,сдал
A,3.4,4.0,3.7,18,средние,мужской,не сдал
A,4.7,3.9,4.1,26,младшие,женский,сдал
A,4.0,3.5,4.1,12,старшие,женский,сдал
A,3.4,3.7,4.0,3,старшие,мужской,сдал
A,3.8,4.4,3.7,12,средние,женский,сдал
A,3.4,3.3,4.2,5,старшие,мужской,сдал
A,3.9,3.8,4.1,9,средние,женский,сдал
A,4.8,4.0,4.4,5,старшие,мужской,не сдал
A,4.5,3.7,4.5,5,младшие,мужской,сдал
A,3.5,3.8,4.0,3,младшие,мужской,сдал
A,4.4,3.9,4.2,5,средние,женский,сдал
A,3.1,4.4,4.1,4,младшие,мужской,сдал
A,4.6,3.4,4.7,5,старшие,женский,сдал
A,4.0,4.2,4.0,2,старшие,мужской,не сдал
A,4.0,4.4,4.6,5,старшие,женский,сдал
A,3.6,3.4,4.7,17,младшие,женский,сдал
A,3.8,4.3,4.0,22,старшие,женский,не сдал
A,3.7,3.6,3.9,7,младшие,мужской,сдал
A,3.4,4.1,4.1,22,старшие,женский,не сдал
A,4.5,3.9,4.5,10,младшие,женский,сдал
A,3.8,4.1,3.8,10,старшие,мужской,сдал
A,3.7,4.0,3.6,11,старшие,мужской,сдал
A,4.5,3.7,4.7,3,старшие,женский,сдал
A,3.5,4.1,4.3,0,средние,мужской,не сдал
A,3.8,3.4,4.6,21,младшие,женский,сдал
A,4.2,3.7,4.2,11,старшие,женский,сдал
A,4.1,4.0,4.4,9,старшие,мужской,сдал
A,4.3,4.3,4.1,20,старшие,женский,сдал
A,4.1,4.0,3.8,11,младшие,мужской,сдал
A,3.1,3.9,3.9,10,старшие,мужской,сдал
A,3.4,3.6,4.3,2,младшие,мужской,не сдал
A,3.5,4.5,3.9,17,младшие,мужской,сдал
A,3.9,4.1,4.6,7,средние,мужской,сдал
A,3.8,3.6,4.2,2,старшие,мужской,сдал
A,3.6,3.9,4.3,5,средние,мужской,сдал
A,4.0,4.0,4.4,9,средние,мужской,сдал
A,4.3,4.3,4.4,1,старшие,мужской,сдал
A,3.9,4.1,4.1,14,младшие,женский,сдал
A,4.6,4.0,4.3,0,средние,женский,сдал
A,4.1,3.9,4.0,16,младшие,мужской,сдал
A,3.6,4.0,4.0,26,младшие,женский,сдал
A,3.8,3.9,4.7,0,средние,женский,не сдал
A,4.4,3.9,3.7,7,старшие,женский,сдал
A,3.8,4.1,4.2,1,младшие,женский,сдал
A,4.8,3.8,3.7,16,старшие,женский,сдал
A,4.3,3.8,4.5,1,средние,женский,сдал
A,4.3,4.4,4.2,10,младшие,мужской,сдал
A,4.0,3.6,3.7,18,старшие,мужской,не сдал
A,3.8,3.5,4.7,6,младшие,мужской,сдал
A,3.4,4.0,3.8,4,старшие,женский,сдал
A,4.1,4.2,3.6,3,средние,мужской,не сдал
A,4.0,4.0,4.0,23,старшие,мужской,сдал
A,3.5,4.0,4.3,19,младшие,мужской,сдал
A,3.9,3.7,4.7,25,старшие,мужской,сдал
A,2.9,4.3,4.0,0,средние,женский,сдал
A,3.6,4.0,4.4,1,старшие,мужской,не сдал
A,3.7,3.9,5.0,38,младшие,женский,сдал
A,4.3,3.5,3.9,16,младшие,мужской,не сдал
A,3.3,3.7,4.4,1,средние,женский,сдал
A,4.4,4.0,4.4,9,средние,женский,сдал
A,3.7,3.9,4.0,2,старшие,мужской,сдал
A,4.3,4.0,4.3,1,старшие,мужской,сдал
A,5.0,3.8,4.1,3,старшие,мужской,сдал
A,3.9,4.1,4.0,14,средние,женский,сдал
A,3.3,3.9,4.4,9,старшие,женский,сдал
A,3.4,4.1,4.0,7,старшие,мужской,не сдал
A,3.7,4.1,4.4,9,старшие,мужской,сдал
A,4.1,4.1,4.3,4,старшие,мужской,сдал
A,3.5,4.5,4.3,3,средние,мужской,сдал
A,3.1,4.3,4.3,2,младшие,мужской,не сдал
A,3.1,4.5,3.8,8,средние,женский,сдал
A,4.0,3.7,4.4,15,средние,мужской,сдал
A,3.7,3.5,4.5,10,средние,мужской,сдал
A,3.6,3.5,4.0,10,старшие,женский,сдал
A,4.2,3.9,3.5,0,старшие,мужской,сдал
A,3.7,3.9,4.3,17,средние,мужской,не сдал
A,3.5,3.9,3.5,30,средние,мужской,не сдал
A,2.7,4.3,4.4,9,младшие,мужской,сдал
A,3.1,3.9,4.0,3,старшие,мужской,сдал
A,3.4,3.9,4.6,2,старшие,женский,не сдал
A,3.8,4.0,4.1,5,средние,женский,сдал
A,3.9,3.6,4.3,1,младшие,мужской,сдал
A,3.9,4.1,4.1,0,средние,мужской,сдал
A,3.7,3.7,4.3,25,старшие,мужской,сдал
A,3.8,4.1,3.9,1,старшие,женский,сдал
A,4.3,4.6,4.6,5,младшие,мужской,сдал
A,4.5,3.8,4.3,0,старшие,женский,сдал
A,2.6,4.3,4.2,3,старшие,женский,не сдал
A,4.0,4.1,4.4,15,старшие,мужской,сдал
A,3.3,4.1,3.6,22,младшие,женский,не сдал
A,4.4,3.7,3.9,35,старшие,женский,сдал
A,3.3,4.2,4.1,30,средние,мужской,сдал
A,4.2,4.1,4.2,6,младшие,женский,не сдал
A,3.8,3.9,3.9,10,старшие,женский,не сдал
A,3.4,4.6,4.1,0,младшие,женский,не сдал
A,2.9,3.9,3.9,35,средние,мужской,сдал
A,3.9,4.2,4.1,6,старшие,мужской,не сдал
A,3.8,4.0,4.0,5,старшие,мужской,не сдал
A,3.9,4.1,4.2,4,средние,мужской,сдал
A,4.0,4.0,4.5,2,старшие,мужской,сдал
A,2.5,4.3,3.6,3,младшие,женский,не сдал
A,3.9,4.4,4.1,1,старшие,мужской,сдал
A,4.5,3.7,4.1,4,средние,женский,сдал
A,3.8,4.0,4.1,24,средние,мужской,сдал
A,4.1,4.1,4.0,4,средние,мужской,сдал
A,2.9,3.5,4.1,15,младшие,женский,сдал
A,4.3,4.2,4.2,3,младшие,мужской,сдал
A,3.4,4.0,4.1,22,средние,мужской,сдал
A,3.4,4.2,4.3,8,старшие,мужской,не сдал
A,3.6,3.7,4.1,9,средние,женский,сдал
A,3.1,4.2,4.5,11,младшие,мужской,сдал
A,3.7,3.6,4.0,5,старшие,мужской,не сдал
A,3.4,4.3,4.2,1,старшие,мужской,сдал
A,4.3,4.2,4.2,6,средние,женский,сдал
A,3.7,4.0,4.4,23,средние,мужской,сдал
A,3.0,4.0,4.8,17,младшие,женский,сдал
A,4.8,4.1,4.4,19,младшие,мужской,сдал
A,4.3,4.1,3.9,4,младшие,мужской,сдал
A,3.8,4.2,4.2,4,средние,мужской,сдал
A,4.2,4.1,4.9,34,старшие,мужской,сдал
A,3.4,3.8,4.1,6,старшие,женский,не сдал
A,3.3,4.1,4.3,8,старшие,мужской,сдал
A,4.2,4.4,4.1,18,старшие,мужской,сдал
A,3.7,4.0,4.4,4,средние,мужской,сдал
A,4.1,3.9,4.4,20,младшие,женский,сдал
A,3.8,4.1,4.8,18,младшие,женский,не сдал
A,4.0,4.1,3.8,6,старшие,женский,сдал
A,4.2,3.5,4.7,17,младшие,мужской,сдал
A,3.4,3.6,4.2,5,средние,женский,сдал
A,3.7,4.0,4.5,7,старшие,женский,сдал
A,3.5,4.4,4.0,1,старшие,женский,сдал
A,3.4,4.2,4.0,20,средние,мужской,сдал
A,3.8,4.5,3.9,6,средние,мужской,сдал
A,3.1,4.3,3.7,20,младшие,мужской,не сдал
A,2.8,4.4,4.2,20,младшие,мужской,сдал
A,4.0,4.2,4.4,1,младшие,женский,сдал
A,3.0,3.4,4.3,2,младшие,женский,сдал
A,4.0,4.0,4.3,11,старшие,мужской,сдал
A,3.6,4.2,3.8,2,средние,женский,не сдал
A,3.5,4.0,4.3,11,средние,мужской,не сдал
A,4.8,3.8,4.2,1,младшие,мужской,сдал
A,3.0,4.3,4.2,15,старшие,женский,сдал
A,4.0,3.4,4.3,12,старшие,женский,не сдал
A,4.2,3.1,4.5,18,средние,мужской,не сдал
A,3.4,4.2,4.5,4,младшие,мужской,сдал
A,4.1,4.0,4.0,4,старшие,женский,сдал
A,3.8,4.2,3.8,8,средние,женский,сдал
A,3.6,3.6,4.1,3,младшие,женский,сдал
A,4.3,4.1,3.9,0,старшие,мужской,сдал
A,3.2,4.2,4.0,6,средние,женский,сдал
A,4.0,4.1,4.3,7,старшие,женский,сдал
A,4.0,3.7,3.7,0,младшие,женский,сдал
A,4.0,3.6,4.3,0,младшие,женский,не сдал
A,4.0,4.4,4.4,11,младшие,мужской,сдал
A,3.6,4.1,4.0,12,младшие,мужской,не сдал
A,3.6,4.4,3.9,14,младшие,мужской,сдал
A,3.1,3.7,4.4,4,средние,мужской,не сдал
A,3.7,3.5,4.1,7,старшие,мужской,сдал
A,3.4,4.4,4.3,3,средние,женский,сдал
A,3.1,3.9,4.0,2,старшие,мужской,не сдал
A,4.1,4.0,4.1,1,младшие,женский,сдал
A,3.8,4.0,4.1,2,старшие,мужской,сдал
A,4.3,3.4,3.9,4,старшие,женский,не сдал
